代码,名称,备注
300562,乐心医疗,将健康 IoT、大数据与医疗深度融合，形成“健康 IoT+数
300298,三诺生物,专注于糖尿病慢病管理领域专家，国内血糖仪零售市场第一龙头，院
2223,鱼跃医疗,国内家用医疗器械龙头                    
603087,甘李药业,公司为唯一掌握产业化生产重组胰岛素类似物技术的中国企业   
600267,海正药业,领先的原料药生产商，中国最大的抗生素、抗肿瘤药物生产商之一 
600867,通化东宝,拥有的重组人胰岛素产品，填补了国内空白           
2019,亿帆医药,主导泛酸系列产品，是拥有独家产品数量较多的国内医药企业之一 
603987,康德莱,国内拥有完整医用穿刺器械产业链的综合性生产企业       
300003,乐普医疗,国内心血管领域平台型企业，多方位布局提供整体解决方案。   
600351,亚宝药业,专利产品丁桂儿脐贴是国内儿童外用药第一品牌         
300255,常山药业,从事肝素原料药和肝素制剂药品研发生产的龙头企业       
603222,济民健康,业务覆盖医疗服务、医疗器械和化学制药三大板块        
518,四环生物,主要产品EPO注射液、注射用白介素-2的市场认可度高    
603998,方盛制药,集医药工业、医疗服务、大健康业务于一体的高品质、综合性、科研
300630,*ST普利,专业从事化学药物制剂研发、生产和销售的高新技术企业     
2437,誉衡药业,产品领先的医药企业，产品由单一的骨科治疗领域向现有心脑血管等
301230,泓博医药,立足小分子药物设计，一站式服务药物研发及生产        
2693,双成药业,国家高新技术企业，在多肽药物领域长期耕耘，具有丰富产品管线、
813,德展健康,"主打产品“阿乐”是全球销售额最大的处方药之一""立普妥""在国内"
2317,众生药业,逐渐形成以创新药为发展龙头、中成药为业务基石、化学仿制药为有
603538,美诺华,国内一流的特色原料药供应商。                
301211,亨迪药业,全球非甾体抗炎类原料药领先企业，尤其是布洛芬和右旋布洛芬原料
600572,康恩贝,OTC及处方药齐头并进，打造“浙江中医药健康产业主平台”，已
688189,南新制药,实控人湖南省国资委，致力于打造全品种、全剂型的抗流感领军企业
603367,辰欣药业,从事医药产品研发、生产和销售的综合性企业。拥有400多个药品
