时间	代码	名称	评级	标题
2025-12-04	920806	云星宇	增持	北交所首次覆盖报告：专精智慧交通集成，推进交通数字化建设布局低空经济领域
2025-12-04	920009	丹娜生物	买入	侵袭性真菌检测龙头，原料及研发构筑护城河
2025-12-04	920699	海达尔	增持	深耕精密滑轨领域，乘AI东风拓展服务器滑轨新增长极
2025-12-04	600315	上海家化	增持	业绩拐点确立，弯道追赶在即
2025-12-04	600176	中国巨石	增持	两大股东合力增持，彰显中长期发展信心
2025-12-04	600157	永泰能源	增持	海则滩煤矿工程进度提前，新回购案有望助推公司价值回归
2025-12-04	688256	寒武纪	买入	推理应用加速落地，算力缺口亟待缓解
2025-12-04	600066	宇通客车	买入	11月销量同环比上升，期待年底翘尾效应
2025-12-03	688484	南芯科技	增持	业绩环比显著改善，高研发夯实平台化基石
2025-12-03	600576	祥源文旅	增持	收购金秀莲花山100%股权，外延扩张逻辑持续兑现
2025-12-03	002594	比亚迪	买入	2025年11月销量点评报告：出口销量环比+57.2%，看好出海带动盈利能力修复
2025-12-03	688012	中微公司	买入	薄膜设备顺利放量，高研发加速平台化布局
2025-12-03	688409	富创精密	增持	营收同环比双增，前瞻投入致业绩短期承压
2025-12-03	300661	圣邦股份	买入	业绩稳健增长韧性凸显，拟发H股加速国际布局
2025-12-03	601111	中国国航	增持	构建北京“一市两场”运营优势，打造全球领先航空公司
2025-12-03	689009	九号公司	增持	智能短交通龙头地位稳固，新品类多点开花
2025-12-03	603197	保隆科技	买入	传感器业务保持快速增长，业绩拐点有望显现
2025-12-03	688665	四方光电	增持	冷媒传感器如期放量；半导体气体仪器潜力巨大
2025-12-03	002487	大金重工	买入	新船加速服务业务发展，第二增长曲线明确
2025-12-03	688336	三生国健	买入	深耕自免赛道，管线即将步入收获期
2025-12-03	600157	永泰能源	增持	公司信息更新报告：海则滩煤矿建设提速，拟回购股份注销
2025-12-03	301216	万凯新材	买入	公司信息更新报告：rPET、草酸项目取得新进展，打造多元业绩增长点
2025-12-03	300181	佐力药业	买入	拟发行可转债建设产能及研发“乌灵+X”产品，支撑长期成长
2025-12-03	605499	东鹏饮料	买入	公告点评：H股发行获证监会备案，步入长线价值区间
2025-12-03	601888	中国中免		中免投资日：催化剂多元化，11月免税数据增速强劲
2025-12-02	688472	阿特斯	买入	阿特斯：公告美国市场业务调整，保障美国长期经营
2025-12-02	688802	沐曦股份		新股覆盖研究：沐曦股份
2025-12-02	002986	宇新股份		持续拓展海外市场，项目建设为公司发展奠定基础
2025-12-02	605499	东鹏饮料	买入	东鹏饮料事件点评：H股发行更近一步，重申三大逻辑
2025-12-02	688807	优迅股份		新股覆盖研究：优迅股份
2025-12-02	002594	比亚迪	买入	2025年11月销量点评：11月销量环比提升，继续加快高端化和出口
2025-12-02	300005	探路者	增持	拟并购芯片标的，夯实双主业发展
2025-12-02	688536	思瑞浦	增持	信号链与电源管理双轮驱动，拟购奥拉深化平台布局
2025-12-02	002371	北方华创	买入	高研发与强激励共筑护城河
2025-12-02	688525	佰维存储	买入	端侧AI存储核心标的，核心受益存储“超级周期”
2025-12-01	688351	微电生理	买入	自研PFA产品获批，电生理产品矩阵持续丰富
2025-12-01	600875	东方电气	买入	毛利率环比改善 在手订单稳定增长
2025-12-01	301377	鼎泰高科	买入	算力建设带动PCB加工需求激增，钻针龙头充分受益
2025-12-01	003002	壶化股份	买入	山西民爆龙头，西部项目引领发展新征程
2025-12-01	603089	正裕工业	买入	数十年精耕减震器领域，产能扩张助力营收增长
2025-12-01	603345	安井食品	增持	沉淀新品积极蓄势，经营状态趋稳
2025-12-01	688568	中科星图	买入	公司信息更新报告：前瞻布局商业航天全产业链
2025-12-01	603180	金牌家居	增持	专业家居定制，智能化、国际化领航
2025-12-01	002847	盐津铺子	买入	厉兵秣马，整装待发
2025-12-01	002463	沪电股份	买入	赴港递表加速全球化，谷歌TPU放量迎量价齐升
2025-12-01	603269	海鸥股份	买入	公司事件点评报告：冷却塔细分龙头，数据中心带来新增量
2025-12-01	002572	索菲亚		盈峰溢价收购股权，产业整合加速
2025-11-30	603939	益丰药房	增持	头部连锁药房，质效并举赋能长足发展
2025-11-30	600522	中天科技	买入	积极布局空芯光缆业务 有望受益于海风景气提升
2025-11-30	688795	摩尔线程	买入	以全功能GPU为核心的国产加速计算平台领军者
2025-11-30	002387	维信诺	增持	公司动态研究报告：合肥国资入主增强稳定性与信心，创新推动行业话语权提升
2025-11-30	688766	普冉股份	增持	拟间接控股SHM增加存储产品线，多元布局打开成长空间
2025-11-30	688110	东芯股份	买入	SLC利基存储涨价，砺算再添成长动能
2025-11-30	688300	联瑞新材	买入	联瑞新材首次覆盖报告：填料艺术家，高阶产品扩产迎成长机遇
2025-11-30	688790	昂瑞微		新股覆盖研究：昂瑞微
2025-11-30	688205	德科立	增持	公司动态研究报告：盈利能力短期承压，数通市场产品高速增长
2025-11-30	301667	纳百川		新股覆盖研究：纳百川
2025-11-09	688677	海泰新光	买入	海泰新光：收入高增长，海外产能陆续布局
2025-11-09	601600	中国铝业	买入	全产业链布局铝系列产品，龙头地位显著
2025-11-09	002223	鱼跃医疗	买入	鱼跃医疗：海外高增长，费用投入助发展
2025-11-09	002466	天齐锂业	增持	全球布局锂矿资源，锂盐价格企稳
2025-11-09	002033	丽江股份	增持	25Q3点评：暑期业绩高增长，景区提升持续推进
2025-11-09	300115	长盈精密	买入	业绩符合预期，新兴业务向好
2025-11-09	001339	智微智能	买入	AI布局持续完善，具身智能取得重大突破
2025-11-09	920694	中裕科技	增持	北交所信息更新：多产品全方位拓展中东市场，募投项目将迎来集中放量期
2025-11-09	300454	深信服	买入	盈利能力改善，围绕AI+安全持续发力
2025-11-09	603160	汇顶科技	买入	新产品放量，单季度业绩高增
2025-11-09	688099	晶晨股份	买入	营收历史新高，订单确定性强
2025-11-09	688608	恒玄科技	买入	净利同比大幅增长，市场地位保持领先
2025-11-09	688543	国科军工	买入	受益行业高景气，业绩有望创历史新高
2025-11-09	002056	横店东磁	买入	横店东磁2025年三季报点评：Q3营业收入与净利润保持同比增长，磁材与锂电业务迎来积极变化
2025-11-09	000960	锡业股份	买入	公司点评报告：资源优势兑现，新兴产业拉动需求增长
2025-11-09	600143	金发科技	买入	金发科技2025年三季报点评：改性塑料基本盘稳固，新兴领域布局初显成效
2025-11-09	002738	中矿资源	增持	三季度经营环比改善，新项目稳步推进
2025-11-09	002116	中国海诚	买入	净利润稳健提升，环保与境外新签订单亮眼
2025-11-09	000811	冰轮环境	买入	公司事件点评报告：液冷与核电双线发力，政策红利下成长空间再扩容
2025-11-09	688522	纳睿雷达	买入	存量订单加速落地，业绩有望持续增长
2025-11-09	002701	奥瑞金	买入	25Q3业绩承压，关注二片罐提价进展
2025-11-09	000777	中核科技	买入	核阀技术突破，行业前景可期
2025-11-09	601601	中国太保	买入	三季度业绩主要由投资驱动，个险渠道逐季加速
2025-11-09	300633	开立医疗	增持	公司业绩逐步改善，新产品放量可期
2025-11-09	601888	中国中免	增持	中国中免25Q3点评：离岛免税数据回暖 口岸免税恢复增长
2025-11-09	300504	天邑股份	买入	3Q25业绩点评：业绩拐点初现，看好未来万兆光网+出海共振
2025-11-09	002100	天康生物	买入	2025年出栏目标330万，Q3甘肃生猪成本大降
2025-11-09	002179	中航光电	买入	三季报点评：研发投入持续增长，新业务布局加速推进
2025-11-09	603296	华勤技术	买入	多品类增速靓丽，3+N+3战略成效显著
2025-11-09	600415	小商品城	增持	建设文商旅综合体配套进口业务，进一步夯实长期收入增长
2025-11-09	300458	全志科技	买入	业绩符合预期，产业布局加快
2025-11-09	688016	心脉医疗	买入	心脉医疗：国内业务企稳，海外持续推进
2025-11-09	605305	中际联合	买入	公司事件点评报告：利润高速增长，产品升级驱动盈利再突破
2025-11-09	688498	源杰科技	买入	CW硅光光源产品放量，Q3业绩增长强劲
2025-11-09	688326	经纬恒润	买入	2025年三季报业绩点评报告：Q3汽车电子业务继续向好，L4业务持续推进
2025-11-09	300203	聚光科技	买入	业绩进入承压期，静待高端仪器放量
2025-11-09	688008	澜起科技	买入	DDR5子代迭代领跑，单季度收入新高
2025-11-09	688029	南微医学	买入	南微医学：海外高增长，全球供应能力得到夯实
