时间	名称	机构	标题
2025-06-29	消费电子	东吴证券	电子行业深度报告：端侧AI重构终端生态：硬件升级驱动换机潮，多设备协同催生商业模式跃迁
2025-06-29	电网设备	国信证券	AIDC电力设备/电网产业链周度跟踪（6月第4周）
2025-06-29	中药	开源证券	医药生物行业周报：多款减肥药亮相2025ADA，重点关注AMYR与ActRII靶点
2025-06-29	通信设备	开源证券	通信行业周报：阿里夸克算力告急，火山引擎发布全模态模型，坚定看好全球AI智算产业链
2025-06-29	通用设备	东吴证券	机械设备行业跟踪周报：推荐锂电设备困境反转&固态电池新技术催化；推荐叉车国内景气度回升&无人叉车趋势机会
2025-06-29	互联网服务	民生证券	计算机周报：计算机行业2025Q2业绩前瞻
2025-06-29	化学制品	北京智研科信咨询	2025中国润滑油行业市场供需态势及未来前景研判报告
2025-06-29	食品饮料	红餐产业研究院	粥品品类发展报告2025
2025-06-29	石油行业	民生证券	石化周报：以伊官宣停火，原油暂时回归基本面定价
2025-06-29	汽车整车	东吴证券	汽车智能化7月投资策略：城市NOA渗透率首次突破20％，继续看好智能化主线！
2025-06-29	电力行业	华源证券	大能源行业2025年第26周周报：5月电力装机与新疆内蒙136号文解读重申看好风电设备
2025-06-29	通用设备	西南证券	机器人行业周报：领益智造举办机器人战略发布会，xAI Grok4发布在即
2025-06-29	化学制药	西南证券	医药行业周报：AI医疗利好消息频现，建议持续关注AI医疗+创新药
2025-06-29	互联网服务	开源证券	计算机行业周报：重视稳定币和AI两大产业趋势
2025-06-29	工程建设	天风证券	建筑装饰行业研究周报：存储扩产预期提升洁净室板块有望受益，继续关注中西部基建投资机会
2025-06-29	通信设备	国信证券	通信行业2025年7月投资策略：互联网云厂重视ASIC自研芯片投入，AI算力高景气度延续
2025-06-29	纺织服装	国信证券	纺织服装海外跟踪系列六十一：耐克管理层指引最差时间已过，2026财年有望逐季改善
2025-06-29	美容护理	宏盟集团	2025年护肤行业新品洞察
2025-06-29	化学原料	东吴证券	大炼化周报：长丝价格增加，产销明显上升
2025-06-29	家用轻工	信达证券	均衡配置，兼顾业绩确定性和估值合理性轻工制造
2025-06-29	银行	天风证券	银行投资跟踪：国有大行注资落地的影响
2025-06-29	证券	开源证券	非银金融行业周报：稳定币主题催化券商板块上涨，中报有望延续高景气
2025-06-29	酿酒行业	国金证券	食品饮料行业研究：飞天茅台价盘触底回升，关注子板块业绩预期情况
2025-06-29	证券	国金证券	非银行金融行业研究：券商布局虚拟资产业务，有望带来收入增量
2025-06-29	工程机械	国金证券	机械行业周报：看好核聚变、机器人和农机
2025-06-29	证券	东吴证券	非银金融行业跟踪周报：寿险保费持续高增；关注虚拟资产牌照主题机会
2025-06-29	农牧饲渔	华安证券	农林牧渔行业周报：生猪价格回升至14.61元，5月能繁存栏环比微增
2025-06-29	水泥建材	开源证券	建筑材料行业周报：房地产市场政策不断加码，关注建材投资机会
2025-06-29	环保行业	信达证券	化债持续推进，部分环保企业应收问题改善环保周报
2025-06-29	煤炭行业	东吴证券	煤炭开采行业跟踪周报：迎峰度夏，煤价触底上行
